family,order,seasonal_order,status,mae,rmse,mape,aic,bic,ticker,error
AR,"(1, 0, 0)","(0, 0, 0, 0)",ok,20.09926632290634,27.631545057193314,7.017356046068661,-6582.582931076661,-6567.280375349829,AAPL,
AR,"(2, 0, 0)","(0, 0, 0, 0)",ok,20.67406458951785,28.371234158737806,7.220094776996366,-6577.714534298295,-6557.314425631778,AAPL,
AR,"(3, 0, 0)","(0, 0, 0, 0)",ok,20.68655888221719,28.4092840003845,7.223882506096604,-6569.924467145337,-6544.428458427572,AAPL,
MA,"(0, 0, 1)","(0, 0, 0, 0)",ok,85.07913187502248,87.07452913944665,31.125876584309438,-1985.611335001298,-1970.3112535014102,AAPL,
MA,"(0, 0, 2)","(0, 0, 0, 0)",ok,84.42728430479978,86.72875493010547,30.87348558177062,-3180.4208883486335,-3160.0240813744213,AAPL,
MA,"(0, 0, 3)","(0, 0, 0, 0)",ok,83.98934308443681,86.46388126885681,30.703971096423732,-3937.8357707849077,-3912.3438925919536,AAPL,
ARMA,"(1, 0, 1)","(0, 0, 0, 0)",ok,20.626073535234415,28.31251511327087,7.203069421719712,-6577.649236249179,-6557.249127582662,AAPL,
ARMA,"(1, 0, 2)","(0, 0, 0, 0)",ok,20.66848668193988,28.387901189252677,7.2174497883972855,-6570.093485992893,-6544.597477275128,AAPL,
ARMA,"(2, 0, 1)","(0, 0, 0, 0)",ok,20.76552605192878,28.498010748324585,7.2521241295410475,-6575.276060395256,-6549.775924562109,AAPL,
ARMA,"(2, 0, 2)","(0, 0, 0, 0)",ok,20.674387641505056,28.400220981680455,7.2193990166969755,-6567.828841342304,-6537.233630880985,AAPL,
ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",ok,14.028367000002815,19.36254582221907,4.919040107512542,-6571.8573137577005,-6556.559708527041,AAPL,
ARIMA,"(0, 1, 2)","(0, 0, 0, 0)",ok,13.984049192700587,19.305726853942797,4.9040710578246784,-6563.826279818154,-6543.432777263791,AAPL,
ARIMA,"(1, 1, 0)","(0, 0, 0, 0)",ok,13.976470904963158,19.273982920859417,4.902090793321387,-6577.835101588304,-6562.535020088416,AAPL,
ARIMA,"(1, 1, 1)","(0, 0, 0, 0)",ok,14.019973913647856,19.352481661584534,4.916184064840282,-6569.947169317034,-6549.550362342822,AAPL,
ARIMA,"(1, 1, 2)","(0, 0, 0, 0)",ok,13.999755213068696,19.33210114163591,4.909223853299282,-6561.344455319208,-6535.852577126254,AAPL,
ARIMA,"(2, 1, 0)","(0, 0, 0, 0)",ok,13.983470875845466,19.299093552529268,4.904034013941687,-6570.089980607593,-6549.693173633381,AAPL,
ARIMA,"(2, 1, 1)","(0, 0, 0, 0)",ok,13.973781797071435,19.2885998087995,4.900709241697016,-6568.417757999932,-6542.921749282167,AAPL,
ARIMA,"(2, 1, 2)","(0, 0, 0, 0)",ok,14.057786653116555,19.406829552665208,4.928780062578091,-6561.036212279019,-6530.445958447474,AAPL,
ARIMA,"(0, 2, 1)","(0, 0, 0, 0)",ok,27.548647596112147,36.058731384207476,9.689911058483597,-6516.633400725126,-6501.338273809354,AAPL,
ARIMA,"(0, 2, 2)","(0, 0, 0, 0)",ok,18.969037121930644,26.785048633544132,6.602808347653055,-6536.930985685172,-6516.540790282713,AAPL,
ARIMA,"(1, 2, 0)","(0, 0, 0, 0)",ok,209.27935063929056,240.81632747575438,76.0683601657019,-6111.722396083396,-6096.424790852737,AAPL,
ARIMA,"(1, 2, 1)","(0, 0, 0, 0)",ok,18.422485457977725,25.63625936912087,6.423547979092676,-6525.922295602744,-6505.528793048381,AAPL,
ARIMA,"(1, 2, 2)","(0, 0, 0, 0)",ok,15.004299256033846,20.985817413209748,5.241820710870031,-6543.133329961012,-6517.645585707938,AAPL,
ARIMA,"(2, 2, 0)","(0, 0, 0, 0)",ok,163.12338280410876,187.7550511723079,59.34758601648701,-6206.358489282706,-6185.964986728342,AAPL,
ARIMA,"(2, 2, 1)","(0, 0, 0, 0)",ok,18.368208003268283,26.071570798714237,6.39060173577233,-6545.981965858441,-6520.490087665487,AAPL,
ARIMA,"(2, 2, 2)","(0, 0, 0, 0)",ok,16.970695282709805,23.877905708304244,5.912898619131378,-6511.64249196767,-6481.057198863981,AAPL,
SARIMAX,"(0, 1, 0)","(0, 0, 1, 5)",ok,14.17008562168367,19.572688716159778,4.966165748931357,-6544.042151119218,-6528.754471455925,AAPL,
SARIMAX,"(0, 1, 0)","(0, 1, 1, 5)",ok,16.64748420368295,23.36791170551856,5.80298184084579,-6490.126099543345,-6474.850873198059,AAPL,
SARIMAX,"(0, 1, 0)","(1, 0, 0, 5)",ok,14.196394368443945,19.619122815997176,4.974748525801546,-6550.251689195759,-6534.961525060275,AAPL,
SARIMAX,"(0, 1, 0)","(1, 0, 1, 5)",ok,14.16721298955947,19.568229888470718,4.96521121171189,-6542.141546948382,-6521.757974063991,AAPL,
SARIMAX,"(0, 1, 0)","(1, 1, 0, 5)",ok,36.251660209655334,44.275949335397925,12.879140431034644,-5980.808412905795,-5965.530691757871,AAPL,
SARIMAX,"(0, 1, 0)","(1, 1, 1, 5)",ok,16.713337112946846,23.47957116603073,5.825035990743578,-6484.640324050396,-6464.273355590015,AAPL,
SARIMAX,"(0, 1, 1)","(0, 0, 1, 5)",ok,14.05137831935109,19.419054747681322,4.925944892394255,-6538.652635523121,-6518.272378013972,AAPL,
SARIMAX,"(0, 1, 1)","(0, 1, 0, 5)",ok,20.088065400972923,26.216519836833577,7.065924504346296,-5685.851171647255,-5670.565978515394,AAPL,
SARIMAX,"(0, 1, 1)","(0, 1, 1, 5)",ok,16.64039948870261,23.439526714570146,5.798213584098442,-6485.385598625788,-6465.021959337468,AAPL,
SARIMAX,"(0, 1, 1)","(1, 0, 0, 5)",ok,14.044197292372864,19.406539254354954,4.923621185073652,-6551.154898146513,-6530.768012632534,AAPL,
SARIMAX,"(0, 1, 1)","(1, 0, 1, 5)",ok,14.045798444973618,19.41158806004138,4.924069694610502,-6536.723047196448,-6511.247725310012,AAPL,
SARIMAX,"(0, 1, 1)","(1, 1, 0, 5)",ok,34.60073653057616,42.49145699080715,12.28058496118691,-5980.146867181034,-5959.776572317136,AAPL,
SARIMAX,"(0, 1, 1)","(1, 1, 1, 5)",ok,13.829532393975306,19.044093822943726,4.853155325362238,-6480.064984918188,-6454.610435807788,AAPL,
SARIMAX,"(1, 1, 0)","(0, 0, 1, 5)",ok,14.004559352742028,19.339092443925942,4.910655737254718,-6545.023354755636,-6524.639781871246,AAPL,
SARIMAX,"(1, 1, 0)","(0, 1, 0, 5)",ok,19.32999452036942,25.356936509718007,6.796283791530485,-5691.983276228082,-5676.695596564789,AAPL,
SARIMAX,"(1, 1, 0)","(0, 1, 1, 5)",ok,14.093639966491441,19.486291224639267,4.939973379393308,-6491.177396641697,-6470.810428181316,AAPL,
SARIMAX,"(1, 1, 0)","(1, 0, 0, 5)",ok,14.017677332220382,19.361212468807732,4.914958848430658,-6544.944325542683,-6524.560752658293,AAPL,
SARIMAX,"(1, 1, 0)","(1, 0, 1, 5)",ok,14.016176847389685,19.36068602988324,4.914401240750469,-6543.107561700547,-6517.62809559506,AAPL,
SARIMAX,"(1, 1, 0)","(1, 1, 0, 5)",ok,35.06504132055182,43.102620543584536,12.444772720743858,-5974.816978764271,-5954.45001030389,AAPL,
